author,title,user_profile_link,likes,comments,collect,hot_score,collection_score,related_score,minority
黑桃很OK•,这个舞蹈不一般 青海摇➕科目三，#科目三舞蹈 #青海摇 #丝滑小连招,https://www.douyin.com/user/MS4wLjABAAAA6w-QCSTCXJcoOfukPgyuUHKbCh9s48hPYlsRXaWGoQA,656513,26810,47767,0.0008039474487304688,0.0034160614013671875,0.0005235671997070312,0
脑残追剧,软的怕硬的，硬的怕不要命的#好剧推荐 #黑话律师 #我的观影报告 #影视解说 #新片速递,https://www.douyin.com/user/MS4wLjABAAAAp4P8pUpixxwA045JCd88Am8rQF1OKWPCfGZjUlZzl70Ku9CqyM7Yh2YPTjyN1yX1,96385,1568,26670,0.0016164779663085938,0.001995086669921875,0.0007352828979492188,0
极本鲜,每天限量1000份，印度街头热卖的辣爆方便面，连盘子都舍不得给 #街头小吃 #网红炒饭 #印度美食,https://www.douyin.com/user/MS4wLjABAAAAExxTKjvnge5GN97KyMoW1T_pPp0a_rWSi8WRN6w2UDA,7030,1090,881,0.0007948875427246094,0.0010318756103515625,0.0006823539733886719,0
小影说片,雷欧大战奥特兄弟，阿斯特拉偷走光之国的奥特钥匙#奥特曼 #雷欧奥特曼 ,https://www.douyin.com/user/MS4wLjABAAAAMEfvgz09nO0b_502Ma4FzLpuqKylL3NoMEJte7zVjsg,136012,4639,21776,0.0013561248779296875,0.005889892578125,0.0005397796630859375,0
大表哥Vlog阳光,#抖音我要上热门 #大表哥 #甲鱼,https://www.douyin.com/user/MS4wLjABAAAAeIWntIl9I_zVdBPImi5IQT5J3QU0wbLezX9zCjXmUBo,9898,222,2696,0.004608154296875,0.0083160400390625,0.0008459091186523438,0
刀郎,大大小小们：我想请个假,https://www.douyin.com/user/MS4wLjABAAAAUFzOSiuG-bOoOqu4mpk1tEle8XPMTWQwIsoMFuuNOumX7ch94DKEvu5nPUhE7rnN,2645138,280266,114411,0.0006337165832519531,0.00803375244140625,0.0002715587615966797,0
荒野求村,德爷 单挑荒野第一季#荒野求生 #单挑荒野 #野外生活纪录片 #荒岛求生 ,https://www.douyin.com/user/MS4wLjABAAAAVTGG4AdNjbsFojqKiscsdb3JqKmMltaX75Wp9ShUvSgVsQ-lo_RynCWO7KYPqHWE,60537,1485,7157,0.0020503997802734375,0.00679779052734375,0.0002846717834472656,0
骚包海伦53,海伦在干什么呢,https://www.douyin.com/user/MS4wLjABAAAAtasaMdkFP7IgdfYZtV1Pm2ttg--eEuo1IdujXCs4jdg,78855,2869,3655,0.00154876708984375,0.00591278076171875,0.0006961822509765625,0
棒哥带你开挖机,这个鱼塘我都不知道自己是怎么挖完的 #挖鱼塘 #挖挖机的日常 #挖机视角 #挖机视频大全 #钩机,https://www.douyin.com/user/MS4wLjABAAAAuj6x3KJmQ23dl8Ybop9mRctQzw-yEZAAlUIrhOCW-h3hRLuUP_pMRReG__EZ1EiS,60049,2426,5447,0.001956939697265625,0.00234222412109375,0.0006265640258789062,0
十一解说,云顶单四48杀吃鸡，离谱红点精准扫车，丝滑操作全程拉满！#和平精英 #兰博 #1v4 #和平精英天文漫游,https://www.douyin.com/user/MS4wLjABAAAAfeqV4N2ZcEDM-LiEM6K7EQP8DADYv6F53e2HEJPhGZ_0P_kTLTvZxuCAX7-py9qf,25034,617,5144,0.0021820068359375,0.005428314208984375,0.0007152557373046875,0
老炮探案,湖北襄阳：追凶十年#悬疑 #社会百态 #普法小剧场,https://www.douyin.com/user/MS4wLjABAAAAn8t9wxpr1HU0cHqdUmr4-RG4_TMhMwKyIWum9UmwcZhM7xfcMvMos23JoENNr2x0,6728,862,1353,0.00130462646484375,0.0029010772705078125,0.0002982616424560547,0
橙子柠檬茶🍋,你最喜欢哪一套？#穿搭 #身材,https://www.douyin.com/user/MS4wLjABAAAAhEmek_LQx2LZ0uWp4-WTObWDFo5hoX86_KEU9o9yr9u0dJZGcwM88nSqhskKWwpb,85934,726,13638,0.001239776611328125,0.0060272216796875,0.0009584426879882812,0
杰特先生在野外,越南胖妹捕鱼脑洞大，用火龙果制作鱼饵捕鱼，结果竟意外的好用 #打窝 #野外生存 #原始技术 #饵料窝料 #饵料,https://www.douyin.com/user/MS4wLjABAAAAKFGlYMG3zVB3VupzU5SFshtzPT6jp9Q7gK305j-XH1l26YRnElJ-7YKUWskbGjpK,3324,59,1311,0.0027256011962890625,0.00469970703125,0.0006461143493652344,0
大家都叫我东哥,没想到今天在这里遇到他#意想不到的结局 #报恩#万万没想到 #传递善良传递爱,https://www.douyin.com/user/MS4wLjABAAAAgTetPWAV7DoqtUCC7BqMRDh4DrW9wZEXwXPTAwuqc2ahmy4kDyH9Cwm9TO0Qr8_4,7665,132,2284,0.0020275115966796875,0.0030517578125,0.0008168220520019531,0
老飘讲故事,故事而已，樱花还是很美的...   #老飘讲故事,https://www.douyin.com/user/MS4wLjABAAAA3UHY69pyt7qkV1JWb3vVOtI8dn1bpqyF5jEoMkgY8jMd3XyG9_dFBeRPE_OEiWWj,25321,99,3002,0.0031719207763671875,0.012481689453125,0.0012063980102539062,0
健身房老板小赵（杠铃被压事件）,"#卧推被压 #健身 #卧推 #镇平 #南阳 
今天查找监控，偶然发现事发前一个月，小侯卧推曾出现过意外， 
/兄弟，你是真的对重量缺乏敬畏之心。
如果事后你跟我们说一声，或者我早点看到这个监控，或许就避免这种悲剧了吧。",https://www.douyin.com/user/MS4wLjABAAAApJFdQjWNUZMFYFGG0EgufKL0G1EPDi56mw4m_y4xfUw,30605,5631,1766,0.00391387939453125,0.0167236328125,0.0012493133544921875,0
水猴子兄弟,今天500块包下一个干塘，老板说里面都是大家伙，那今天不得支棱起来啊！,https://www.douyin.com/user/MS4wLjABAAAA4V82kOvCKvSf-hSBGwpWiTcbxy-L8ok8S_zylgP4b_8,219614,5488,33257,0.00279998779296875,0.0115509033203125,0.0012598037719726562,0
风火电影,学好数理化走遍天下都不怕 女学霸画斐波那契整治渣男#张若昀 #徐若晗 #好剧 #鸣龙少年 #鸣龙少年好看上头,https://www.douyin.com/user/MS4wLjABAAAADBUw-eqJDu9KJTlQ6o98PMNmlCbOPmnhLYRMup22MPRxLJphiGUhXBo3AyeJVD8r,28894,455,6911,0.0027370452880859375,0.00891876220703125,0.00075531005859375,0
智造社,老摩托重获新生！小伙翻新老摩托，再现威风凛凛的风范 #翻新  #高手在民间  #手艺人,https://www.douyin.com/user/MS4wLjABAAAAOpdqnGwVvpJSJ-2lNK3LuFOjJHWGkWxslNvwa8hQ0uc,6361,277,1315,0.00734710693359375,0.0328369140625,0.0024051666259765625,0
暖她一整天,对不起爷爷😭,https://www.douyin.com/user/MS4wLjABAAAAAdDumRTcwDt91jmUgRoRbAjw5MjOUGfcf_uSCSehsYQ,49809,2128,1466,0.00345611572265625,0.007549285888671875,0.00130462646484375,0
铁根er,《这位更是重量级》,https://www.douyin.com/user/MS4wLjABAAAABJdAjMrTWzSi0Tj5LQBYAOsynrbKvnzmYS7UjDqnRoKv0trIgXTzVLKQ3I74Mpfc,77611,2270,2190,0.0024242401123046875,0.0110321044921875,0.0007042884826660156,0
癫仔李小志,正能量短剧1之大水冲了龙王庙 #乡村喜剧 #农村短剧原创 #微电影,https://www.douyin.com/user/MS4wLjABAAAAZjD6BPHXtU0hJ2RG3Y7M6qMJ0rZKkkvjbOdSA77cc20,38687,581,15824,0.001495361328125,0.0004546642303466797,0.00034737586975097656,0
